Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
240,1/1/2016 9:53,1/1/2016 9:57,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,24654,Subscriber,1956,2
765,1/1/2016 9:55,1/1/2016 10:08,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24587,Subscriber,1985,1
646,1/1/2016 10:06,1/1/2016 10:17,3185,City Hall,40.7177325,-74.043845,3199,Newport Pkwy,40.7287448,-74.0321082,24609,Subscriber,1977,1
637,1/1/2016 10:32,1/1/2016 10:43,3207,Oakland Ave,40.7376037,-74.0524783,3186,Grove St PATH,40.71958611647166,-74.04311746,24409,Subscriber,1969,1
364,1/1/2016 10:59,1/1/2016 11:05,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,24588,Subscriber,1986,1
709,1/1/2016 11:02,1/1/2016 11:13,3193,Lincoln Park,40.7246051,-74.07840595,3220,5 Corners Library,40.734961020009514,-74.05950308,24495,Subscriber,1989,1
3090,1/1/2016 11:07,1/1/2016 11:58,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24444,Customer,,0
263,1/1/2016 11:11,1/1/2016 11:16,3186,Grove St PATH,40.71958611647166,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24658,Subscriber,1982,1
298,1/1/2016 11:20,1/1/2016 11:25,3197,North St,40.752559,-74.044725,3210,Pershing Field,40.74267714,-74.05178863,24610,Subscriber,1989,1
1720,1/1/2016 11:43,1/1/2016 12:12,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24407,Subscriber,1992,1
788,1/1/2016 11:50,1/1/2016 12:03,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074262530658,-74.06378388,24573,Customer,,0
767,1/1/2016 11:50,1/1/2016 12:03,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074262530658,-74.06378388,24678,Customer,,0
682,1/1/2016 11:55,1/1/2016 12:06,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,24405,Customer,,0
665,1/1/2016 12:01,1/1/2016 12:12,3207,Oakland Ave,40.7376037,-74.0524783,3183,Exchange Place,40.7162469,-74.0334588,24558,Subscriber,1989,1
1886,1/1/2016 12:02,1/1/2016 12:34,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,24484,Customer,,0
420,1/1/2016 12:08,1/1/2016 12:15,3212,Christ Hospital,40.73478582,-74.05044364,3196,Riverview Park,40.7443187,-74.0439909,24397,Subscriber,1960,1
1667,1/1/2016 12:40,1/1/2016 13:08,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24576,Customer,,0
537,1/1/2016 12:44,1/1/2016 12:53,3212,Christ Hospital,40.73478582,-74.05044364,3215,Central Ave,40.7467299,-74.0492509,24664,Subscriber,1983,1
441,1/1/2016 12:45,1/1/2016 12:52,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.04311746,24454,Subscriber,1979,1
1727,1/1/2016 12:54,1/1/2016 13:23,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24537,Subscriber,1950,1
1410,1/1/2016 13:02,1/1/2016 13:25,3199,Newport Pkwy,40.7287448,-74.0321082,3185,City Hall,40.7177325,-74.043845,24613,Customer,,0
2957,1/1/2016 13:09,1/1/2016 13:58,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24609,Subscriber,1978,1
657,1/1/2016 13:14,1/1/2016 13:25,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,24405,Customer,,0
1323,1/1/2016 13:14,1/1/2016 13:36,3194,McGinley Square,40.72533993,-74.06762213,3187,Warren St,40.7211236,-74.03805095,24644,Subscriber,1961,2
766,1/1/2016 13:18,1/1/2016 13:31,3192,Liberty Light Rail,40.7112423,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,24426,Subscriber,1977,2
1442,1/1/2016 13:21,1/1/2016 13:45,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24444,Subscriber,1978,2
425,1/1/2016 13:25,1/1/2016 13:32,3215,Central Ave,40.7467299,-74.0492509,3212,Christ Hospital,40.73478582,-74.05044364,24651,Subscriber,1983,1
335,1/1/2016 13:27,1/1/2016 13:32,3186,Grove St PATH,40.71958611647166,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,24719,Subscriber,1972,2
828,1/1/2016 13:32,1/1/2016 13:46,3186,Grove St PATH,40.71958611647166,-74.04311746,3199,Newport Pkwy,40.7287448,-74.0321082,24389,Customer,,0
428,1/1/2016 13:34,1/1/2016 13:42,3209,Brunswick St,40.7241765,-74.0506564,3187,Warren St,40.7211236,-74.03805095,24605,Subscriber,1988,1
80,1/1/2016 13:40,1/1/2016 13:41,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24576,Subscriber,1976,1
244,1/1/2016 13:41,1/1/2016 13:46,3186,Grove St PATH,40.71958611647166,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,24531,Subscriber,1985,2
381,1/1/2016 13:44,1/1/2016 13:50,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,24411,Subscriber,1981,1
891,1/1/2016 13:46,1/1/2016 14:01,3210,Pershing Field,40.74267714,-74.05178863,3183,Exchange Place,40.7162469,-74.0334588,24543,Subscriber,1976,1
1013,1/1/2016 13:47,1/1/2016 14:04,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24449,Subscriber,1990,1
1179,1/1/2016 13:51,1/1/2016 14:11,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,24514,Subscriber,1950,1
737,1/1/2016 13:54,1/1/2016 14:06,3195,Sip Ave,40.73074262530658,-74.06378388,3211,Newark Ave,40.72152515,-74.04630454,24493,Subscriber,1996,2
2682,1/1/2016 13:59,1/1/2016 14:44,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,24613,Subscriber,1983,2
262,1/1/2016 14:14,1/1/2016 14:19,3207,Oakland Ave,40.7376037,-74.0524783,3210,Pershing Field,40.74267714,-74.05178863,24599,Subscriber,1960,1
813,1/1/2016 14:28,1/1/2016 14:41,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24677,Subscriber,1976,1
183,1/1/2016 14:28,1/1/2016 14:31,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746,24563,Subscriber,1991,1
